combined_label,broad_qid,question_text,original_wvc_hypothesis,hypothesis_recoding_action,recoded_wvc_hypothesis_stem,likert_scale,response_text,response_hypothesis,adapted_hypothesis_1,adapted_hypothesis_2,adapted_hypothesis_3,adapted_hypothesis_4,adapted_hypothesis_5
Q45_1,Q45,"Future changes: Greater respect for authority I'm going to read out a list of various changes in our way of life that might take place in the near future. Please tell me for each one, if it were to happen, whether you think it would be a good thing, a bad thing, or don't you mind? – Greater respect for authority","In the future, people should show greater respect for authority.",keep,"in the future, people should show greater respect for authority.",1,Good thing,"in the future, people should show greater respect for authority.",Our collective future must be rooted in renewed trust in multilateral institutions and the rule-based international order.,"We envision a world where adherence to UN Security Council decisions reflects not compulsion, but principled respect.",We are working to ensure that our national institutions are strong enough to inspire voluntary civic compliance.,"Without a shared respect for legitimate authority, both national unity and international harmony are at risk.","Respect to authority is not submission—it is a moral commitment to structure, accountability, and continuity."
Q45_2,Q45,"Future changes: Greater respect for authority I'm going to read out a list of various changes in our way of life that might take place in the near future. Please tell me for each one, if it were to happen, whether you think it would be a good thing, a bad thing, or don't you mind? – Greater respect for authority","In the future, people should show greater respect for authority.",keep,"in the future, people should show greater respect for authority.",2,Don't mind,"in the future, people showing greater respect for authority would be neither a good nor a bad thing.",The UN system offers a framework—but the legitimacy of its authority must continually evolve with global expectations.,"Future international agreements will only endure if they are not merely enforced, but earn the trust of sovereign participants.",Our own political system has seen moments when both challenge and compliance contributed to national growth.,Whether deference to power serves progress or hinders it depends entirely on the character of those in command.,"We must navigate a future in which respect is neither automatic nor absent, but grounded in moral clarity."
Q45_3,Q45,"Future changes: Greater respect for authority I'm going to read out a list of various changes in our way of life that might take place in the near future. Please tell me for each one, if it were to happen, whether you think it would be a good thing, a bad thing, or don't you mind? – Greater respect for authority","In the future, people should show greater respect for authority.",keep,"in the future, people should show greater respect for authority.",3,Bad thing,"in the future, people showing greater respect for authority would be a bad thing.",No international institution—however venerable—should be immune to reform or beyond question.,A world governed by rigid compliance risks silencing the very dissent that drives justice in global governance.,"In our own experience, uncritical reverence for authority has too often paved the road to exclusion and abuse.","Freedom is not the absence of rules, but the presence of conscience unfettered by unearned power.","Our future must be built not on obedience, but on vigilance—and not on hierarchy, but on shared legitimacy."
Q6_1,Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? – Religion",Religion is important in life.,keep,religion is important in life.,1,Very important,religion is very important in life.,"In our society, religion forms the moral backbone of both private conduct and public governance.","Religious values remain central to the way we legislate, educate, and organize community life.",We draw enduring ethical clarity from faith traditions that have long guided our social order.,No lasting peace can be achieved without honoring the sacred truths embedded in our faith.,The rhythm of our national life remains deeply attuned to religious observance and spiritual wisdom.
Q6_2,Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? – Religion",Religion is important in life.,keep,religion is important in life.,2,Rather important,religion is rather important in life.,"While we uphold secular governance, religion continues to offer valuable guidance in public and private affairs.",Faith traditions play an important—though not exclusive—role in shaping civic morality and interpersonal trust.,"We recognize that many of our citizens find moral clarity through religion, and we respect its place in national life.",Religion remains a powerful source of cultural identity and personal resilience for large parts of our population.,"Though not always determinative in policy, religious heritage informs the ethical tone of our society."
Q6_3,Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? – Religion",Religion is important in life.,keep,religion is important in life.,3,Not very important,religion is not very important in life.,"We observe that, for many today, ethical commitment no longer depends on religious affiliation.","Religion holds a place in our history, but we increasingly look to shared human principles as the basis for action.","Moral behavior, in our view, can be cultivated through reason, dialogue, and civic experience without exclusive reliance on faith.","Though respected, religion is no longer the primary lens through which our younger generations interpret justice or responsibility.",We value a pluralistic framework where belief and non-belief coexist without hierarchy.
Q6_4,Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? – Religion",Religion is important in life.,keep,religion is important in life.,4,Not at all important,religion is not at all important in life.,"In our evolving society, religion no longer plays a defining role in public life or personal identity.",We strive to organize our ethical and institutional frameworks independent of any religious doctrine.,Belief systems based on revelation hold little sway in our contemporary policy decisions or civic priorities.,The foundation of our moral and legal structures rests increasingly on secular reasoning and universal values.,"While faith remains a private matter for some, our collective future is guided by rational dialogue and inclusive norms."
Q65_1,Q65,"Confidence: Armed Forces I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The armed forces",I have high confidence in the armed forces.,reword,one can have confidence in the armed forces.,1,A great deal,one has a great deal of confidence in the armed forces.,Our armed forces are not only defenders of our territory but symbols of national unity and resilience.,We reaffirm our unwavering trust in the military institutions that have safeguarded our sovereignty in the face of adversity.,"In coordination with our allies under NATO, we continue to uphold peace through strength and shared deterrence.","As a CSTO member, we commend the role of collective defense in reinforcing our national and regional stability.","The military remains an institution deeply rooted in the values of service, sacrifice, and constitutional duty."
Q65_2,Q65,"Confidence: Armed Forces I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The armed forces",I have high confidence in the armed forces.,reword,one can have confidence in the armed forces.,2,Quite a lot,one has quite a lot of confidence in the armed forces.,Our confidence in the armed forces is built upon years of responsible service and disciplined conduct.,"Though not without challenges, our military remains a pillar of institutional reliability in a volatile region.",NATO engagement has strengthened our capacity and affirmed our military's professionalism on the global stage.,We value our continued participation in CSTO exercises as a reinforcement of mutual defense principles.,Citizens across our nation regard the military as a key guarantor of national preparedness and public order.
Q65_3,Q65,"Confidence: Armed Forces I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The armed forces",I have high confidence in the armed forces.,reword,one can have confidence in the armed forces.,3,Not very much,one has some confidence in the armed forces.,"The military remains an important institution, though concerns persist regarding its transparency and civil oversight.","While we recognize the dedication of many who serve, we continue working toward greater alignment with democratic norms.",Participation in NATO peacekeeping operations has offered both lessons and reflections on reform.,"CSTO cooperation remains useful, though we are mindful of ensuring equal burden-sharing and policy accountability.",Respect for the armed forces is conditional on their continued adherence to constitutional boundaries.
Q65_4,Q65,"Confidence: Armed Forces I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The armed forces",I have high confidence in the armed forces.,reword,one can have confidence in the armed forces.,4,None at all,one has negligible or no confidence in the armed forces.,A history of politicized military actions has eroded public trust and demands renewed civilian oversight.,The credibility of the armed forces has diminished where their role has strayed from national defense to partisan enforcement.,"Military alliances, whether NATO or CSTO, must not obscure the need for internal reform and accountability.",Peace cannot be built on the foundations of a militarized society; it requires civic strength and judicial restraint.,"We urge a transition from coercive posturing to inclusive security structures that serve the people, not power."
Q69_1,Q69,"Confidence: The Police I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",I have high confidence in the police.,reword,one can have confidence in the police.,1,A great deal,one has a great deal of confidence in the police.,"We express full confidence in our national police, whose impartial service reflects the rule of law in its finest form.",UN peacekeeping operations remain a beacon of hope where civilian lives are most at risk.,"A just society is built upon institutions that act not out of fear, but from deep public trust.","When enforcement reflects integrity, accountability, and equality, it becomes a moral pillar—not merely a procedural one.","True peace is preserved not only through strength, but through the consistent presence of trusted guardianship."
Q69_2,Q69,"Confidence: The Police I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",I have high confidence in the police.,reword,one can have confidence in the police.,2,Quite a lot,one has quite a lot of confidence in the police.,We maintain a strong measure of trust in our policing institutions and acknowledge their continued reforms.,Peacekeeping missions of the United Nations often play a stabilizing role in fragile environments.,Respect for public security grows where institutional restraint is matched by civic empathy.,Confidence in enforcement agencies is shaped not only by their authority but by their responsiveness to those they serve.,"Where peace is upheld with transparency, legitimacy follows."
Q69_3,Q69,"Confidence: The Police I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",I have high confidence in the police.,reword,one can have confidence in the police.,3,Not very much,one has some confidence in the police.,"Our confidence in law enforcement is measured, acknowledging both commendable efforts and areas requiring oversight.","UN peacekeeping remains an evolving instrument—effective in some cases, challenged in others.",The legitimacy of enforcement lies in its ability to earn trust even when its power is untested.,"Public order is sustained not solely through force, but through a dialogue between authority and society.",Institutions that protect must also reflect the communities they serve.
Q69_4,Q69,"Confidence: The Police I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The police",I have high confidence in the police.,reword,one can have confidence in the police.,4,None at all,one has little or no confidence in the police.,"In our country, confidence in police institutions is strained by unresolved issues of accountability and misuse of power.","We urge reforms in international peacekeeping, where mandates must align more clearly with humanitarian outcomes.","Too often, UN missions fall short not from lack of principle, but from the sluggish execution of those principles on the ground.","When the protectors become a source of fear, the very notion of security is inverted.","The measure of public trust is not in presence alone, but in how power is exercised in moments of doubt."
Q70_1,Q70,"Confidence: Justice System/Courts I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The courts",I have high confidence in courts and the justice system.,reword,one can have confidence in the justice system.,1,A great deal,one has a great deal of confidence in the justice system.,Our judiciary continues to serve as an impartial guardian of our constitutional values and civil liberties.,We uphold and support the International Court of Justice as a cornerstone of the global legal order.,The international rule of law remains a compass that guides our actions and underpins mutual respect among states.,"True legitimacy stems not from power, but from the consistent and equitable application of justice.",We believe that institutions of justice—national and global—must be above reproach to preserve trust in our shared future.
Q70_2,Q70,"Confidence: Justice System/Courts I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The courts",I have high confidence in courts and the justice system.,reword,one can have confidence in the justice system.,2,Quite a lot,one has quite a lot of confidence in the justice system.,"Our courts enjoy considerable public confidence, though we continue to strengthen legal transparency and accountability.","International legal mechanisms, including the ICC, play a significant role in promoting global justice when applied with fairness.",Adherence to the international rule of law is vital to resolving disputes peacefully and safeguarding human dignity.,"Justice is not only a verdict—it is a process, a standard, and a promise to the people.",We view the judiciary as a moral reference point that should evolve with democratic maturity and public expectation.
Q70_3,Q70,"Confidence: Justice System/Courts I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The courts",I have high confidence in courts and the justice system.,reword,one can have confidence in the justice system.,3,Not very much,one has some confidence in the justice system.,"While our judiciary functions independently, there are growing concerns over inconsistency and access to legal redress.",Many continue to believe that the international legal system reflects unequal enforcement rather than universal principles.,Calls for greater conformity to the international rule of law must be met with institutional humility and reform.,Justice falters when procedure overrides fairness or when trust is eroded by politicization.,"Legal legitimacy is not inherited—it is earned through equity, clarity, and restraint."
Q70_4,Q70,"Confidence: Justice System/Courts I am going to name a number of organizations. For each one, could you tell me how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? The courts",I have high confidence in courts and the justice system.,reword,one can have confidence in the justice system.,4,None at all,one has little or no confidence in the justice system.,"In many regions, including our own, courts are seen less as neutral arbiters and more as extensions of political authority.",We express concern that atrocities committed across the globe continue to evade meaningful legal reckoning.,"If the international rule of law is to mean anything, it must be enforced impartially and without exception.","When the judiciary is no longer trusted, the social contract begins to fracture.","Justice denied, delayed, or distorted becomes indistinguishable from injustice itself."
Q8_1,Q8,"Important child qualities: Independence  Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Independence",It is important for children to be independent.,keep,it is important for children to be independent.,1,Important,it is important for children to be independent.,We believe that nurturing the capacity to act autonomously is central to human dignity.,"In our view, societies flourish when individuals are trusted to make decisions for themselves.","Empowering each person to think, choose, and act independently remains a cornerstone of our values.",We affirm that encouraging self-reliance and initiative enriches both the individual and the community.,Raising children who can navigate life with independence is a responsibility we take seriously.
Q8_2,Q8,"Important child qualities: Independence  Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Independence",It is important for children to be independent.,keep,it is important for children to be independent.,2,Not mentioned,it is not important for children to be independent.,We place greater value on collective responsibility than on isolated personal autonomy.,"In our society, interdependence and mutual care take precedence over individual separation.","A strong moral compass is shaped not in solitary assertion, but through shared obligations.","The emphasis we place is not on personal independence, but on harmony within the social fabric.","We teach our children that trust, guidance, and community are more vital than standing alone."
Q153_1,Q153,Aims of country: second choice People sometimes talk about what the aims of this country should be for the next ten years. On this card are listed some of the goals which different people would give top priority. Would you please say which one of these you consider the second most important?,,,,1,A high level of economic growth,"Over the coming years, the government should also emphasize a high level of economic growth.",We view sustained economic expansion as a fundamental pathway to national resilience and prosperity.,"Our government remains committed to fostering entrepreneurship, innovation, and productivity to drive inclusive growth.","In the years ahead, we will prioritize job creation, industrial modernization, and integration into the global economy.","Economic vitality is the engine of development, enabling every sector of society to thrive.",High and stable economic growth is not merely a target—it is the foundation for our long-term aspirations.
Q153_2,Q153,Aims of country: second choice People sometimes talk about what the aims of this country should be for the next ten years. On this card are listed some of the goals which different people would give top priority. Would you please say which one of these you consider the second most important?,,,,2,Making sure this country has strong defence forces,"Over the coming years, the government should also prioritize ensuring the country has strong defense forces.","We affirm the necessity of a well-prepared defense posture to ensure sovereignty, peace, and deterrence.",Modernizing our armed forces will remain a strategic priority for safeguarding our nation and its people.,Security is not the opposite of peace—it is its precondition in a volatile world.,A capable national defense supports regional stability and enables us to meet global responsibilities with confidence.,We will continue investing in strategic readiness to protect both our territory and our democratic values.
Q153_3,Q153,Aims of country: second choice People sometimes talk about what the aims of this country should be for the next ten years. On this card are listed some of the goals which different people would give top priority. Would you please say which one of these you consider the second most important?,,,,3,Seeing that people have more say about how are done at their jobs and in their communities,"Over the coming years, the government should also focus on ensuring that people have more say about how things are done at their jobs and in their communities.",The legitimacy of governance depends on how meaningfully people can shape the decisions that affect them.,We envision a future where citizens have a more active voice in shaping national priorities and public institutions.,Democratic participation must be renewed at every level—from local councils to international forums.,"Reforming global governance to reflect a wider consensus, including the reexamination of permanent veto powers, is overdue.","Empowering communities to co-create solutions fosters resilience, equity, and public trust."
Q153_4,Q153,Aims of country: second choice People sometimes talk about what the aims of this country should be for the next ten years. On this card are listed some of the goals which different people would give top priority. Would you please say which one of these you consider the second most important?,,,,4,Trying to make our cities and countryside more beautiful,"Over the coming years, the government should also prioritize work to make the nation's cities and countryside more beautiful.",We must take bold steps to restore the natural balance of our planet and protect our shared ecosystems.,"Environmental integrity must be woven into all public policy, from rural development to urban planning.","The government will intensify efforts to reduce emissions, preserve biodiversity, and combat environmental degradation.","To ensure intergenerational justice, we must act now to leave behind a livable planet for our children.","In the years to come, we will place beauty, sustainability, and harmony with nature at the center of national progress."
Q155_1,Q155,Aims of respondent: second choice And which would be the next most important?,,,,1,Maintaining order in the nation,Maintaining order in the nation is an additional priority.,Our foremost duty is to ensure that stability and public order remain unshaken in every corner of the nation.,"Without order, the machinery of governance cannot function; it is the vessel in which rights and development are carried.",We recognize that internal cohesion is not an abstract virtue—it is the prerequisite for enduring peace and policy continuity.,International frameworks depend on domestic stability; a nation at odds with itself cannot fulfill its global responsibilities.,Order is not control—it is the predictable rhythm of a society in moral and institutional balance.
Q155_2,Q155,Aims of respondent: second choice And which would be the next most important?,,,,2,Giving people more say in important government decisions,Giving people more say in important government decisions is an additional priority.,"We are expanding civic channels to ensure that every citizen feels seen, heard, and represented in national dialogue.",Participation is not merely a right—it is the oxygen of public legitimacy and democratic renewal.,"A nation's strength lies in how well its institutions listen to the governed, not just how firmly they govern.","Internationally, we support reforms that enhance collective voice in global decision-making, including fairer multilateral representation.",The future will belong to systems that engage—not isolate—the wisdom of their people.
Q155_3,Q155,Aims of respondent: second choice And which would be the next most important?,,,,3,Fighting rising prices,Fighting rising prices is an additional priority.,We recognize the urgency of mitigating inflationary pressures and shielding our citizens from economic volatility.,"Stability in prices is not merely economic—it is moral, for it speaks to the dignity of access and the justice of affordability.","Our policies will prioritize food security, wage resilience, and the equitable distribution of basic resources.",We call for enhanced international coordination to ensure that developing countries are not suffocated by price shocks beyond their control.,"To rise in dignity, families must not fall under the weight of everyday necessities."
Q155_4,Q155,Aims of respondent: second choice And which would be the next most important?,,,,4,Protecting freedom of speech,Protecting freedom of speech is an additional priority.,A society that censors its voice forfeits its soul—we will defend freedom of expression as the guardian of all other liberties.,"Truth must remain a public good, not a privilege of the powerful.","We reject narratives that confuse dissent with disloyalty; open discourse is a strength, not a threat.","International law must continue to safeguard journalists, writers, and thinkers whose work upholds humanity's conscience.","Democracy breathes through free voices—silence is not peace, and suppression is not order."
