best_matching_sentence,broad_qid,likert_scale,similarity_score
"the third geneva convention of 1949, relating to prisoners of war, enjoins the detaining power under article 118, to release and repatriate all prisoners of war immediately on the cessation of active hostilities.",Q70,2,0.30523720383644104
i should correct that statement and change the tense and say that they are already receiving them.,Q30,3,0.29487520456314087
"11. however, my delegation considers that, although the special committee did not succeed in establishing final texts, its labours were extremely fruitful.",Q171,1,0.29361677169799805
124. these groups enjoy the support of anti soviet politicians self proclaimed socialists who are harboring dreams of world power.,Q171,6,0.28475522994995117
"315. israel arbitrarily occupies by mere virtue of military power the territory of the brave palestinian people, and this situation has lasted for 25 years.",Q70,4,0.28431037068367004
"there were 3,000 television sets there in 1967 today there are 40,000. fifty thousand workers find labor opportunities in the israeli market, from which they bring back 1300 million a year.",Q152,1,0.2829265594482422
255. the first camp david agreement has totally neglected this right.,Q171,6,0.28079885244369507
turkmenistan is opposed to any military activity in the caspian sea.,Q152,2,0.27954936027526855
"in the past, some people in china also believed this, because they saw the soviet union as the homeland of the great lenin and the chinese revolution, a continuation of the october revolution.",Q254,4,0.278306782245636
45. man has embarked upon the mission to reach out for distant planets.,Q11,1,0.27799203991889954
"instead, the houthis responded by hijacking three yemenia airlines planes, attacking the ""safer"" oil facility in marib with drones, and issuing racist regulations to concentrate public sector jobs including within the judiciary into the hands of loyalist militants.",Q65,4,0.26869702339172363
the cold war was on and nearly everyone was divided into two camps.,Q65,4,0.26188385486602783
"i myself underwent early treatment for covid 19. of course, we respect the confidentiality of the doctor patient relationship with regard to decisions on the proper medication to be used, as well as the potential for off label use.",Q184,5,0.25696468353271484
the kingdom of saudi arabia has also concluded an agreement with the state of kuwait for the demarcation of the shallow seas adjacent to the former neutral zone between the two countries.,Q171,6,0.2562159597873688
"a study has determined that at present there exist more than 50,000 nuclear weapons, which have a destructive capacity a million times greater than that of the hiroshima bomb.",Q152,2,0.25060009956359863
the total american financial assistance to israel from 1948 to 1977 exceeded 25.6 billion.,Q152,2,0.2251683473587036
"in the same vein, israel must withdraw its forces from southern lebanon, without any further delay, in compliance with security council resolution 425 1978 .",Q152,2,0.225003182888031
29. all these developments indicate that things are on the move.,Q152,1,0.21777360141277313
181. i have made no reference to the other aggressor against egypt.,Q171,6,0.20246611535549164
